annee;siret;siren;nom_commune;code_insee;depenses_culturelles_totales_keur;depenses_culturelles_fonctionnement_keur;depenses_culturelles_investissement_keur;depenses_culturelles_totales_euros_par_habitant;depenses_culturelles_fonctionnement_euros_par_habitant;depenses_culturelles_investissement_euros_par_habitant;depenses_culturelles_totales_pct;depenses_culturelles_fonctionnement_pct;depenses_culturelles_investissement_pct;population_2023
2023;21800001600012;218000016;00000;80001;3053;1950;1103;131;84;47;0,104;0,083;0,188;23318
2023;21780003600014;217800036;00000;78003;354;303;51;100;85;14;0,075;0,072;0,1;3557
2023;21940001700014;219400017;00000;94001;904;384;520;152;65;88;0,097;0,056;0,216;5938
2023;21590002800014;215900028;00000;59002;306;300;7;72;70;2;0,084;0,089;0,023;4274
2023;21780005100179;217800051;00000;78005;2376;2185;191;109;100;9;0,061;0,074;0,019;21812
2023;21620004800017;216200048;00000;62004;1018;677;341;126;84;42;0,138;0,112;0,253;8091
2023;21350001000011;213500010;00000;35001;1305;502;802;186;72;114;0,124;0,094;0,155;7029
2023;20000871200016;200008712;00000;97601;6;6;0;1;1;0;0,001;0,001;0;5384
2023;21340003900011;213400039;00000;34003;6402;5538;864;216;187;29;0,074;0,083;0,042;29589
2023;21470001500016;214700015;00000;47001;3776;2790;986;114;84;30;0,065;0,064;0,069;33046
2023;21500002700015;215000027;00000;50002;539;520;18;115;111;4;0,147;0,16;0,044;4677
2023;21790003400018;217900034;00000;79003;471;468;3;85;85;1;0,099;0,117;0,005;5523
2023;20008463000017;200084630;00000;79185;152;145;6;31;30;1;0,029;0,039;0,004;4832
2023;21170003400013;211700034;00000;17003;847;44;803;192;10;182;0,155;0,014;0,363;4417
2023;21440002000019;214400020;00000;44002;89;64;24;21;15;6;0,023;0,024;0,02;4199
2023;21300003700019;213000037;00000;30003;1527;1513;14;175;173;2;0,097;0,107;0,01;8742
2023;21470004900015;214700049;00000;47004;232;210;21;53;48;5;0,032;0,044;0,009;4368
2023;21300006000011;213000060;00000;30006;106;102;4;18;18;1;0,013;0,016;0,003;5784
2023;20005576200013;200055762;00000;73006;34;34;0;8;8;0;0,002;0,004;0;4537
2023;21400001000014;214000010;00000;40001;177;145;32;26;22;5;0,026;0,031;0,015;6753
2023;21620014700017;216200147;00000;62014;1270;647;624;129;66;63;0,076;0,067;0,089;9869
2023;21130001700012;211300017;00000;13001;43916;36537;7380;292;243;49;0,173;0,187;0,126;150358
2023;21870010200013;218700102;00000;87001;482;419;63;82;71;11;0,06;0,072;0,028;5887
2023;21730008600014;217300086;00000;73008;4237;3809;429;134;120;14;0,079;0,093;0,034;31642
2023;21620019600014;216200196;00000;62019;250;224;26;63;57;7;0,053;0,057;0,034;3958
2023;20005884000014;200058840;00000;10003;612;50;563;171;14;157;0,14;0,015;0,584;3576
2023;21850003100016;218500031;00000;85003;104;100;4;10;10;0;0,01;0,012;0,002;10270
2023;21200004600012;212000046;00000;02004;16980;11778;5203;231;160;71;0,131;0,115;0,189;73483
2023;21200006100011;212000061;00000;02006;87;17;70;24;5;19;0,021;0,007;0,043;3633
2023;21800014900011;218000149;00000;80016;1052;858;194;105;86;19;0,093;0,098;0,076;9983
2023;21730011000012;217300110;00000;73011;1357;1247;110;67;61;5;0,04;0,059;0,009;20414
2023;21810004800014;218100048;00000;81004;9709;8310;1399;191;164;28;0,136;0,142;0,106;50783
2023;21610001600015;216100016;00000;61001;1739;1436;304;66;54;12;0,053;0,055;0,045;26464
2023;21660002300016;216600023;00000;66002;78;71;6;21;19;2;0,014;0,022;0,003;3717
